center_id,center_name,phone,fax,address,sido,sigungu,gu,emd,search_key,area_key,sido_norm,area_key_norm,display_name,aliases,floor_info,unit_info,building_hint,arrival_hint,google_place_id,google_primary_photo_ref,google_maps_url
C018,이천BP,031-637-9888,031-634-3888,경기 이천시 증신로 81 2층 202호,경기도,이천시,,,이천BP 경기 이천시 증신로 81 2층 202호,경기도 이천시,경기도,경기도 이천시,이천BP (이천시),,2층,202호,이천시 증신,이천시 증신 2층 202호,,,
C019,에이스양평BP,031-771-0902,031-771-0970,경기 양평군 양평읍 시민로 94 지하1층,경기도,양평군,,양평읍,에이스양평BP 경기 양평군 양평읍 시민로 94 지하1층,경기도 양평군 양평읍,경기도,경기도 양평군 양평읍,에이스양평BP (양평군 양평읍),,지하1층,,양평읍 시민,양평읍 시민 지하1층,,,
C020,가온파주BP,031-942-2989,050-4393-2989,경기 파주시 새꽃로 180 (금촌동) 1층,경기도,파주시,,금촌동,가온파주BP 경기 파주시 새꽃로 180 (금촌동) 1층,경기도 파주시 금촌동,경기도,경기도 파주시 금촌동,가온파주BP (파주시 금촌동),,1층,,파주시 새꽃,파주시 새꽃 1층,,,
C021,의정부한빛BP,010-2939-5899,050-4164-5899,"경기 의정부시 호국로 1303 (의정부동, 한라비발디루트) 118호",경기도,의정부시,,"의정부동, 한라비발디루트","의정부한빛BP 경기 의정부시 호국로 1303 (의정부동, 한라비발디루트) 118호","경기도 의정부시 의정부동, 한라비발디루트",경기도,"경기도 의정부시 의정부동, 한라비발디루트",의정부한빛BP (의정부시 의정부동),,,118호,,118호,,,
C022,평택BP,031-618-7990,031-618-7991,경기 평택시 원평로 43 (평택동) 2층,경기도,평택시,,평택동,평택BP 경기 평택시 원평로 43 (평택동) 2층,경기도 평택시 평택동,경기도,경기도 평택시 평택동,평택BP (평택시 평택동),,2층,,평택시 원평,평택시 원평 2층,,,
C023,수원나눔BP,031-223-2763,031-237-2764,경기 수원시 팔달구 경수대로 424 (인계동) 2층 202호,경기도,수원시,팔달구,인계동,수원나눔BP 경기 수원시 팔달구 경수대로 424 (인계동) 2층 202호,경기도 수원시 인계동,경기도,경기도 수원시 팔달구 인계동,수원나눔BP (수원시 팔달구 인계동),,2층,202호,팔달구 경수,팔달구 경수 2층 202호,,,
C024,광명BP,070-5057-1378,0504-468-6378,경기 부천시 양지로 247 (옥길동) 광양프런티어밸리7차 1020호,경기도,부천시,,옥길동,광명BP 경기 부천시 양지로 247 (옥길동) 광양프런티어밸리7차 1020호,경기도 부천시 옥길동,경기도,경기도 부천시 옥길동,광명BP (부천시 옥길동),,,1020호,,1020호,,,
C025,가온 평택역BP,031-691-1236,031-652-0124,경기 평택시 평택로64번길 32 (평택동) 3층,경기도,평택시,,평택동,가온평택역BP 경기 평택시 평택로64번길 32 (평택동) 3층,경기도 평택시 평택동,경기도,경기도 평택시 평택동,가온 평택역BP (평택시 평택동),,3층,,평택시 평택,평택시 평택 3층,,,
C026,시흥 정왕역BP,031-431-2016,031-431-3016,경기 시흥시 마유로418번길 10 (정왕동) 월드맥스몰 2층 203호 일부,경기도,시흥시,,정왕동,시흥정왕역BP 경기 시흥시 마유로418번길 10 (정왕동) 월드맥스몰 2층 203호 일부,경기도 시흥시 정왕동,경기도,경기도 시흥시 정왕동,시흥 정왕역BP (시흥시 정왕동),,2층,203호,시흥시 마유,시흥시 마유 2층 203호,,,
C027,창원글로벌BP,055-237-9016,055-237-9016,경남 창원시 의창구 창원대로363번길 22-57 (팔용동) 1층 114호,경상남도,창원시,의창구,팔용동,창원글로벌BP 경남 창원시 의창구 창원대로363번길 22-57 (팔용동) 1층 114호,경상남도 창원시 팔용동,경상남도,경상남도 창원시 의창구 팔용동,창원글로벌BP (창원시 의창구 팔용동),,1층,114호,의창구 창원,의창구 창원 1층 114호,,,
C028,김해 이레BP,055-724-1850,055-724-1851,경남 김해시 가락로 26 (부원동) 부원프라자 7층,경상남도,김해시,,부원동,김해이레BP 경남 김해시 가락로 26 (부원동) 부원프라자 7층,경상남도 김해시 부원동,경상남도,경상남도 김해시 부원동,김해 이레BP (김해시 부원동),,7층,,김해시 가락,김해시 가락 7층,,,
C029,진주남강BP,010-9309-6265,0504-166-6265,경남 진주시 범골로54번길 30-9 (충무공동) 드림IT밸리 주1동 B601호,경상남도,진주시,,충무공동,진주남강BP 경남 진주시 범골로54번길 30-9 (충무공동) 드림IT밸리 주1동 B601호,경상남도 진주시 충무공동,경상남도,경상남도 진주시 충무공동,진주남강BP (진주시 충무공동),,,601호,,601호,,,
C030,창원BP,055-291-2953,055-291-2954,경남 창원시 마산합포구 합포로 240 (산호동) 4층,경상남도,창원시,마산합포구,산호동,창원BP 경남 창원시 마산합포구 합포로 240 (산호동) 4층,경상남도 창원시 산호동,경상남도,경상남도 창원시 마산합포구 산호동,창원BP (창원시 마산합포구 산호동),마산|창원 마산|창원시 마산,4층,,마산합포구 합포,마산합포구 합포 4층,,,
C031,거제BP,055-637-5760,055-637-5761,경남 거제시 장평로8길 30 (장평동) 2층 201호,경상남도,거제시,,장평동,거제BP 경남 거제시 장평로8길 30 (장평동) 2층 201호,경상남도 거제시 장평동,경상남도,경상남도 거제시 장평동,거제BP (거제시 장평동),,2층,201호,거제시 장평,거제시 장평 2층 201호,,,
C032,김해BP,055-326-6016,055-323-8018,경남 김해시 김해대로 2389 (부원동) 3층,경상남도,김해시,,부원동,김해BP 경남 김해시 김해대로 2389 (부원동) 3층,경상남도 김해시 부원동,경상남도,경상남도 김해시 부원동,김해BP (김해시 부원동),,3층,,김해시 김해,김해시 김해 3층,,,
C033,양산홍익으뜸BP,055-385-5222,050-4099-8118,경남 양산시 북안남3길 44 (북부동) 2층,경상남도,양산시,,북부동,양산홍익으뜸BP 경남 양산시 북안남3길 44 (북부동) 2층,경상남도 양산시 북부동,경상남도,경상남도 양산시 북부동,양산홍익으뜸BP (양산시 북부동),,2층,,양산시 북안남3,양산시 북안남3 2층,,,
C034,진주혁신BP,055-754-3698,055-754-3697,경남 진주시 동진로 106 (상대동) 2층,경상남도,진주시,,상대동,진주혁신BP 경남 진주시 동진로 106 (상대동) 2층,경상남도 진주시 상대동,경상남도,경상남도 진주시 상대동,진주혁신BP (진주시 상대동),,2층,,진주시 동진,진주시 동진 2층,,,
C035,포항BP,054-283-0991,054-283-0992,포항시 남구 중앙로 158 (해도동) 3층,포항시,포항시,남구,해도동,포항BP 포항시 남구 중앙로 158 (해도동) 3층,포항시 남구 해도동,경상북도,경상북도 포항시 남구 해도동,포항BP (포항시 남구 해도동),,3층,,남구 중앙,남구 중앙 3층,,,
C036,구미BP,054-463-3016,054-463-9016,경북 구미시 야은로 740-1 (신평동) 3층,경상북도,구미시,,신평동,구미BP 경북 구미시 야은로 740-1 (신평동) 3층,경상북도 구미시 신평동,경상북도,경상북도 구미시 신평동,구미BP (구미시 신평동),,3층,,구미시 야은,구미시 야은 3층,,,
C037,안동BP,054-843-8214,054-843-8214,경북 안동시 광명로 198 (옥동) 옥동삼성1차아파트 상가동 302-1호,경상북도,안동시,,옥동,안동BP 경북 안동시 광명로 198 (옥동) 옥동삼성1차아파트 상가동 302-1호,경상북도 안동시 옥동,경상북도,경상북도 안동시 옥동,안동BP (안동시 옥동),,,302-1호,,302-1호,,,
C038,경산BP,053-813-0160,,경북 경산시 강변동로 76 (서상동) 3층,경상북도,경산시,,서상동,경산BP 경북 경산시 강변동로 76 (서상동) 3층,경상북도 경산시 서상동,경상북도,경상북도 경산시 서상동,경산BP (경산시 서상동),,3층,,,3층,,,
C039,광주무등BP,062-382-6016,062-384-6016,광주 남구 독립로 84 (백운동) 2층,광주광역시,남구,,백운동,광주무등BP 광주 남구 독립로 84 (백운동) 2층,광주광역시 남구 백운동,광주광역시,광주광역시 남구 백운동,광주무등BP (남구 백운동),,2층,,남구 독립,남구 독립 2층,,,
C040,광주BP,062-372-5016,062-372-6016,광주 서구 상무화원로12번길 4 (치평동) 1층,광주광역시,서구,,치평동,광주BP 광주 서구 상무화원로12번길 4 (치평동) 1층,광주광역시 서구 치평동,광주광역시,광주광역시 서구 치평동,광주BP (서구 치평동),,1층,,서구 상무화원,서구 상무화원 1층,,,
C041,동대구BP,053-751-8016,053-753-8016,대구 동구 효신로 14 (효목동) 2층,대구광역시,동구,,효목동,동대구BP 대구 동구 효신로 14 (효목동) 2층,대구광역시 동구 효목동,대구광역시,대구광역시 동구 효목동,동대구BP (동구 효목동),,2층,,동구 효신,동구 효신 2층,,,
C042,대구BP,053-561-6016,053-561-8016,대구시 달서구 달구벌대로 1504 (감삼동) 5층,대구광역시,달서구,,감삼동,대구BP 대구시 달서구 달구벌대로 1504 (감삼동) 5층,대구광역시 달서구 감삼동,대구광역시,대구광역시 달서구 감삼동,대구BP (달서구 감삼동),,5층,,달서구 달구벌,달서구 달구벌 5층,,,
C043,대구글로벌BP,053-588-3016,053-285-1527,대구광역시 달서구 계대동문로4길 72(신당동) 1층 101호,대구광역시,달서구,,신당동,대구글로벌BP 대구광역시 달서구 계대동문로4길 72(신당동) 1층 101호,대구광역시 달서구 신당동,대구광역시,대구광역시 달서구 신당동,대구글로벌BP (달서구 신당동),,1층,101호,달서구 계대동문,달서구 계대동문 1층 101호,,,
C044,대구상인역BP,053-642-2004,053-426-2004,대구 달서구 월배로 200 (상인동) 2층,대구광역시,달서구,,상인동,대구상인역BP 대구 달서구 월배로 200 (상인동) 2층,대구광역시 달서구 상인동,대구광역시,대구광역시 달서구 상인동,대구상인역BP (달서구 상인동),,2층,,달서구 월배,달서구 월배 2층,,,
C045,대구팔공BP,053-744-8016,053-745-9016,대구 동구 동부로 71 (신천동) 2층,대구광역시,동구,,신천동,대구팔공BP 대구 동구 동부로 71 (신천동) 2층,대구광역시 동구 신천동,대구광역시,대구광역시 동구 신천동,대구팔공BP (동구 신천동),,2층,,동구 동부,동구 동부 2층,,,
C046,대전역BP,042-253-1016,042-253-2016,대전시 중구 대흥동 336-16 조양빌딩 3층,대전광역시,중구,,대흥동,대전역BP 대전시 중구 대흥동 336-16 조양빌딩 3층,대전광역시 중구 대흥동,대전광역시,대전광역시 중구 대흥동,대전역BP (중구 대흥동),,3층,,336-16 조양빌딩,336-16 조양빌딩 3층,,,
C047,대전 GOBP,042-633-0633,042-633-0634,대전 동구 백룡로5번길 80 (자양동) 지하1층,대전광역시,동구,,자양동,대전GOBP 대전 동구 백룡로5번길 80 (자양동) 지하1층,대전광역시 동구 자양동,대전광역시,대전광역시 동구 자양동,대전 GOBP (동구 자양동),,지하1층,,동구 백룡,동구 백룡 지하1층,,,
C048,부산역BP,051-464-8016,051-465-9016,부산 동구 중앙대로308번길 3-5 (초량동) 세진빌딩 303호,부산광역시,동구,,초량동,부산역BP 부산 동구 중앙대로308번길 3-5 (초량동) 세진빌딩 303호,부산광역시 동구 초량동,부산광역시,부산광역시 동구 초량동,부산역BP (동구 초량동),,,303호,,303호,,,
C049,부산연제BP,051-852-2016,051-852-3016,부산 부산진구 양연로 4 (양정동) 4층,부산광역시,부산진구,,양정동,부산연제BP 부산 부산진구 양연로 4 (양정동) 4층,부산광역시 부산진구 양정동,부산광역시,부산광역시 부산진구 양정동,부산연제BP (부산진구 양정동),,4층,,부산진구 양연,부산진구 양연 4층,,,
C050,부산우정BP,010-8279-4320,051-803-3010,부산 부산진구 부전로162번길 3 (부전동) 3층,부산광역시,부산진구,,부전동,부산우정BP 부산 부산진구 부전로162번길 3 (부전동) 3층,부산광역시 부산진구 부전동,부산광역시,부산광역시 부산진구 부전동,부산우정BP (부산진구 부전동),,3층,,부산진구 부전,부산진구 부전 3층,,,
C051,가자부산BP,051-866-1543,051-866-1544,부산 연제구 중앙대로1075번길 16 (연산동) 2층,부산광역시,연제구,,연산동,가자부산BP 부산 연제구 중앙대로1075번길 16 (연산동) 2층,부산광역시 연제구 연산동,부산광역시,부산광역시 연제구 연산동,가자부산BP (연제구 연산동),,2층,,연제구 중앙,연제구 중앙 2층,,,
C052,부산광명BP,051-852-0898,051-852-0878,부산 연제구 반송로 9 (연산동) 4층,부산광역시,연제구,,연산동,부산광명BP 부산 연제구 반송로 9 (연산동) 4층,부산광역시 연제구 연산동,부산광역시,부산광역시 연제구 연산동,부산광명BP (연제구 연산동),,4층,,연제구 반송,연제구 반송 4층,,,
C053,부산센텀BP,051-717-0302,051-717-0405,부산 동래구 연안로64번길 4 (안락동) 201호,부산광역시,동래구,,안락동,부산센텀BP 부산 동래구 연안로64번길 4 (안락동) 201호,부산광역시 동래구 안락동,부산광역시,부산광역시 동래구 안락동,부산센텀BP (동래구 안락동),,,201호,,201호,,,
C054,개금BP,051-892-3888,051-896-4777,부산진구 가야대로466 경향한의원 지하1층,부산진구,부산진구,,,개금BP 부산진구 가야대로466 경향한의원 지하1층,부산진구,부산광역시,부산광역시 부산진구,개금BP (부산진구),,지하1층,,부산진구 가야,부산진구 가야 지하1층,,,
C055,사상글로벌BP,051-325-6016,051-325-8016,부산 사상구 사상로 434 (모라동) 1층,부산광역시,사상구,,모라동,사상글로벌BP 부산 사상구 사상로 434 (모라동) 1층,부산광역시 사상구 모라동,부산광역시,부산광역시 사상구 모라동,사상글로벌BP (사상구 모라동),,1층,,사상구 사상,사상구 사상 1층,,,
C056,부산 미래BP,051-633-9956,051-633-9957,부산 부산진구 범일로 175 (범천동) 2층,부산광역시,부산진구,,범천동,부산미래BP 부산 부산진구 범일로 175 (범천동) 2층,부산광역시 부산진구 범천동,부산광역시,부산광역시 부산진구 범천동,부산 미래BP (부산진구 범천동),,2층,,부산진구 범일,부산진구 범일 2층,,,
C057,송파 CGI BP,02-472-3663,02-477-7016,서울 송파구 오금로11길 23-9 (방이동) 5층 511호,서울특별시,송파구,,방이동,송파CGIBP 서울 송파구 오금로11길 23-9 (방이동) 5층 511호,서울특별시 송파구 방이동,서울특별시,서울특별시 송파구 방이동,송파 CGI BP (송파구 방이동),,5층,511호,송파구 오금,송파구 오금 5층 511호,,,
C058,군자BP,02-2248-0016,02-2213-0102,서울 광진구 능동로 331 (중곡동) 2층,서울특별시,광진구,,중곡동,군자BP 서울 광진구 능동로 331 (중곡동) 2층,서울특별시 광진구 중곡동,서울특별시,서울특별시 광진구 중곡동,군자BP (광진구 중곡동),,2층,,,2층,,,
C059,구로 신도림테크노BP,02-858-0598,02-859-0598,서울 구로구 새말로 97 (구로동) 9층 3호,서울특별시,구로구,,구로동,구로신도림테크노BP 서울 구로구 새말로 97 (구로동) 9층 3호,서울특별시 구로구 구로동,서울특별시,서울특별시 구로구 구로동,구로 신도림테크노BP (구로구 구로동),,9층,3호,구로구 새말,구로구 새말 9층 3호,,,
C060,성북비전BP,02-3292-7010,02-3292-5010,서울 성북구 돌곶이로 25길 4-1 퀸즈빌8차 101호,서울특별시,성북구,,,성북비전BP 서울 성북구 돌곶이로 25길 4-1 퀸즈빌8차 101호,서울특별시 성북구,서울특별시,서울특별시 성북구,성북비전BP (성북구),,,101호,,101호,,,
C061,을지로BP,010-3208-8250,050-4206-7926,서울 중구 충무로 50 (을지로3가) 6층,서울특별시,중구,,을지로3가,을지로BP 서울 중구 충무로 50 (을지로3가) 6층,서울특별시 중구 을지로3가,서울특별시,서울특별시 중구 을지로3가,을지로BP (중구 을지로3가),,6층,,중구 충무,중구 충무 6층,,,
C062,대방BP,02-832-1005,02-845-6016,서울 영등포구 여의대방로 199 (신길동) 3층,서울특별시,영등포구,,신길동,대방BP 서울 영등포구 여의대방로 199 (신길동) 3층,서울특별시 영등포구 신길동,서울특별시,서울특별시 영등포구 신길동,대방BP (영등포구 신길동),,3층,,영등포구 여의대방,영등포구 여의대방 3층,,,
C063,가로수홍대BP,070-4006-0903,070-4009-9672,서울 마포구 어울마당로5길 16 (서교동) 3층,서울특별시,마포구,,서교동,가로수홍대BP 서울 마포구 어울마당로5길 16 (서교동) 3층,서울특별시 마포구 서교동,서울특별시,서울특별시 마포구 서교동,가로수홍대BP (마포구 서교동),,3층,,마포구 어울마당,마포구 어울마당 3층,,,
C064,건대친구통신BP,02-6964-8020,02-6964-8090,서울 광진구 아차산로30길 31 (자양동) 3층(건대친구통신),서울특별시,광진구,,자양동,건대친구통신BP 서울 광진구 아차산로30길 31 (자양동) 3층(건대친구통신),서울특별시 광진구 자양동,서울특별시,서울특별시 광진구 자양동,건대친구통신BP (광진구 자양동),,3층,,광진구 아차산,광진구 아차산 3층,,,
C065,개봉BP,02-2625-8595,02-2625-8596,서울 구로구 경인로33다길 21 (개봉동) 1층,서울특별시,구로구,,개봉동,개봉BP 서울 구로구 경인로33다길 21 (개봉동) 1층,서울특별시 구로구 개봉동,서울특별시,서울특별시 구로구 개봉동,개봉BP (구로구 개봉동),,1층,,구로구 경인,구로구 경인 1층,,,
C066,관악BP,02-889-6665,02-889-6664,서울 관악구 봉천로 335 (봉천동) 301호,서울특별시,관악구,,봉천동,관악BP 서울 관악구 봉천로 335 (봉천동) 301호,서울특별시 관악구 봉천동,서울특별시,서울특별시 관악구 봉천동,관악BP (관악구 봉천동),,,301호,,301호,,,
C067,지앤지BP,02-6958-9103,02-3467-4511,서울 금천구 디지털로10길 37 (가산동) 아스크타워 614호 ~ 618호,서울특별시,금천구,,가산동,지앤지BP 서울 금천구 디지털로10길 37 (가산동) 아스크타워 614호 ~ 618호,서울특별시 금천구 가산동,서울특별시,서울특별시 금천구 가산동,지앤지BP (금천구 가산동),,,614호,,614호,,,
C068,동서울BP,02-3437-7705,02-3437-7706,서울 광진구 자양로 67 (자양동) 302호,서울특별시,광진구,,자양동,동서울BP 서울 광진구 자양로 67 (자양동) 302호,서울특별시 광진구 자양동,서울특별시,서울특별시 광진구 자양동,동서울BP (광진구 자양동),,,302호,,302호,,,
C069,강동그린BP,02-478-0278,02-478-0845,서울 강동구 성내로 4 (성내동) 3층,서울특별시,강동구,,성내동,강동그린BP 서울 강동구 성내로 4 (성내동) 3층,서울특별시 강동구 성내동,서울특별시,서울특별시 강동구 성내동,강동그린BP (강동구 성내동),,3층,,강동구 성내,강동구 성내 3층,,,
C070,구로센트럴BP,02-877-3694,050-4277-3694,서울 구로구 디지털로30길 28 (구로동) 마리오타워1108호,서울특별시,구로구,,구로동,구로센트럴BP 서울 구로구 디지털로30길 28 (구로동) 마리오타워1108호,서울특별시 구로구 구로동,서울특별시,서울특별시 구로구 구로동,구로센트럴BP (구로구 구로동),,,1108호,,1108호,,,
C071,대림 모아BP,02-851-3858,02-851-3858,서울 구로구 구로중앙로14길 61 (구로동) 3층,서울특별시,구로구,,구로동,대림모아BP 서울 구로구 구로중앙로14길 61 (구로동) 3층,서울특별시 구로구 구로동,서울특별시,서울특별시 구로구 구로동,대림 모아BP (구로구 구로동),,3층,,구로구 구로중앙,구로구 구로중앙 3층,,,
C072,신세계 영등포BP,02-2676-6016,02-2675-6016,서울 영등포구 영중로 22 (영등포동3가) 4층 401호,서울특별시,영등포구,,영등포동3가,신세계영등포BP 서울 영등포구 영중로 22 (영등포동3가) 4층 401호,서울특별시 영등포구 영등포동3가,서울특별시,서울특별시 영등포구 영등포동3가,신세계 영등포BP (영등포구 영등포동3가),,4층,401호,영등포구 영중,영등포구 영중 4층 401호,,,
C073,삼전BP,02-6204-0720,02-6413-0720,서울 송파구 삼전로12길 10 (삼전동) 3층 301호,서울특별시,송파구,,삼전동,삼전BP 서울 송파구 삼전로12길 10 (삼전동) 3층 301호,서울특별시 송파구 삼전동,서울특별시,서울특별시 송파구 삼전동,삼전BP (송파구 삼전동),,3층,301호,송파구 삼전,송파구 삼전 3층 301호,,,
C074,가산역BP,02-6264-2025,02-6264-2026,서울 금천구 가산디지털1로 181 (가산동) 5층 507호,서울특별시,금천구,,가산동,가산역BP 서울 금천구 가산디지털1로 181 (가산동) 5층 507호,서울특별시 금천구 가산동,서울특별시,서울특별시 금천구 가산동,가산역BP (금천구 가산동),,5층,507호,금천구 가산디지털1,금천구 가산디지털1 5층 507호,,,
C075,상봉 크라운BP,02-435-8812,02-435-8812,서울 중랑구 망우로 240 (상봉동) 3층 302호,서울특별시,중랑구,,상봉동,상봉크라운BP 서울 중랑구 망우로 240 (상봉동) 3층 302호,서울특별시 중랑구 상봉동,서울특별시,서울특별시 중랑구 상봉동,상봉 크라운BP (중랑구 상봉동),,3층,302호,중랑구 망우,중랑구 망우 3층 302호,,,
C076,스마트마포BP,02-3142-2016,02-323-2016,서울 마포구 잔다리로 77 (서교동) 대창빌딩 401호,서울특별시,마포구,,서교동,스마트마포BP 서울 마포구 잔다리로 77 (서교동) 대창빌딩 401호,서울특별시 마포구 서교동,서울특별시,서울특별시 마포구 서교동,스마트마포BP (마포구 서교동),,,401호,,401호,,,
C077,구로디지털BP,02-830-8747,02-830-8748,서울 구로구 디지털로29길 38 (구로동) 에이스테크노타워3차 709호,서울특별시,구로구,,구로동,구로디지털BP 서울 구로구 디지털로29길 38 (구로동) 에이스테크노타워3차 709호,서울특별시 구로구 구로동,서울특별시,서울특별시 구로구 구로동,구로디지털BP (구로구 구로동),,,709호,,709호,,,
C078,울산BP,052-254-3016,052-264-7016,울산 남구 돋질로239번길 4-4 (달동) 2층,울산광역시,남구,,달동,울산BP 울산 남구 돋질로239번길 4-4 (달동) 2층,울산광역시 남구 달동,울산광역시,울산광역시 남구 달동,울산BP (남구 달동),,2층,,남구 돋질,남구 돋질 2층,,,
C079,뉴부평BP,032-504-0577,032-232-1359,인천 부평구 동수로 173 (부개동) 1층,인천광역시,부평구,,부개동,뉴부평BP 인천 부평구 동수로 173 (부개동) 1층,인천광역시 부평구 부개동,인천광역시,인천광역시 부평구 부개동,뉴부평BP (부평구 부개동),,1층,,부평구 동수,부평구 동수 1층,,,
